#SampleID	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__NB1-j	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Patescibacteria	d__Bacteria;p__FCPU426	d__Bacteria;p__MBNT15	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Deinococcota	d__Bacteria;p__RCP2-54	d__Bacteria;p__WPS-2	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__TX1A-33	d__Bacteria;p__Zixibacteria	d__Bacteria;p__Hydrogenedentes	d__Bacteria;p__Dadabacteria	d__Bacteria;p__GAL15	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__WS2	d__Bacteria;p__Deferrisomatota	d__Bacteria;p__Nitrospinota	d__Bacteria;p__Margulisbacteria	d__Bacteria;p__Cloacimonadota	d__Bacteria;p__WS4	d__Bacteria;p__PAUC34f	d__Bacteria;p__DTB120	d__Bacteria;p__FW113	d__Bacteria;p__Sva0485	d__Bacteria;p__WS1	d__Bacteria;p__Modulibacteria	d__Bacteria;p__LCP-89	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__TA06
SRR21723068	1029.0	5755.0	569.0	6.0	2128.0	1904.0	7183.0	20.0	210.0	107.0	48.0	15.0	2.0	42.0	5.0	3.0	0.0	0.0	2.0	45.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723070	1364.0	6270.0	499.0	14.0	1859.0	1474.0	8911.0	19.0	220.0	102.0	94.0	71.0	6.0	24.0	8.0	17.0	0.0	0.0	2.0	44.0	0.0	0.0	3.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723071	730.0	4204.0	522.0	0.0	1800.0	2896.0	6434.0	17.0	168.0	51.0	28.0	18.0	0.0	44.0	0.0	9.0	0.0	0.0	0.0	38.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723072	897.0	4071.0	373.0	0.0	2268.0	2901.0	6043.0	6.0	158.0	88.0	31.0	32.0	2.0	44.0	0.0	14.0	0.0	0.0	0.0	46.0	0.0	2.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723073	1086.0	3747.0	200.0	0.0	1794.0	2807.0	6362.0	4.0	182.0	103.0	16.0	6.0	2.0	37.0	2.0	19.0	0.0	0.0	0.0	16.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723075	1054.0	5385.0	367.0	6.0	2104.0	2438.0	7708.0	11.0	253.0	186.0	39.0	25.0	0.0	59.0	2.0	3.0	0.0	0.0	4.0	44.0	0.0	0.0	12.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723076	861.0	2923.0	183.0	0.0	998.0	2960.0	7577.0	0.0	163.0	51.0	24.0	9.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	6.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723077	1211.0	4219.0	636.0	0.0	635.0	2939.0	9570.0	7.0	320.0	90.0	11.0	15.0	3.0	23.0	0.0	12.0	17.0	0.0	0.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723078	607.0	3205.0	308.0	0.0	826.0	3044.0	7731.0	6.0	148.0	80.0	31.0	14.0	0.0	20.0	0.0	3.0	2.0	0.0	0.0	34.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723084	967.0	6062.0	1091.0	0.0	1802.0	3606.0	10113.0	15.0	187.0	123.0	62.0	19.0	9.0	19.0	0.0	12.0	0.0	0.0	0.0	13.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723085	743.0	3288.0	293.0	0.0	931.0	2164.0	7921.0	6.0	71.0	73.0	27.0	3.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723086	1024.0	5185.0	561.0	0.0	2714.0	3109.0	9732.0	0.0	230.0	124.0	20.0	14.0	3.0	20.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	21.0	0.0	3.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723087	715.0	5229.0	349.0	0.0	2389.0	2762.0	11530.0	17.0	290.0	138.0	85.0	7.0	4.0	39.0	7.0	17.0	4.0	0.0	0.0	3.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723088	2679.0	13487.0	1059.0	16.0	4593.0	8655.0	28584.0	12.0	661.0	391.0	85.0	17.0	9.0	36.0	26.0	10.0	9.0	0.0	11.0	140.0	4.0	0.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723089	808.0	3546.0	327.0	0.0	1497.0	2392.0	8255.0	4.0	77.0	34.0	21.0	18.0	0.0	9.0	7.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	13.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723090	1533.0	6368.0	861.0	0.0	2586.0	5021.0	14276.0	15.0	235.0	139.0	42.0	19.0	4.0	46.0	8.0	19.0	5.0	0.0	0.0	39.0	0.0	0.0	6.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723099	674.0	3367.0	232.0	0.0	1130.0	2801.0	5407.0	5.0	119.0	22.0	35.0	7.0	3.0	52.0	0.0	3.0	0.0	0.0	9.0	32.0	0.0	2.0	7.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723117	678.0	2976.0	297.0	0.0	746.0	2063.0	7242.0	6.0	116.0	61.0	38.0	9.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723140	2610.0	8584.0	761.0	6.0	1776.0	4327.0	18291.0	25.0	477.0	150.0	65.0	2.0	9.0	33.0	3.0	21.0	0.0	0.0	3.0	160.0	0.0	0.0	8.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723141	1734.0	8525.0	676.0	16.0	2339.0	4763.0	17849.0	30.0	314.0	164.0	128.0	36.0	0.0	30.0	0.0	6.0	7.0	0.0	0.0	35.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723142	2131.0	8415.0	911.0	0.0	2755.0	6231.0	18516.0	26.0	330.0	264.0	133.0	58.0	0.0	80.0	7.0	23.0	0.0	0.0	3.0	124.0	0.0	2.0	29.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723143	1367.0	5478.0	843.0	0.0	1531.0	4648.0	13344.0	6.0	303.0	165.0	52.0	36.0	0.0	33.0	2.0	5.0	0.0	0.0	2.0	81.0	0.0	0.0	14.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723194	578.0	3255.0	436.0	0.0	1319.0	3004.0	10772.0	8.0	104.0	116.0	56.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723197	272.0	1624.0	175.0	0.0	807.0	2550.0	5097.0	0.0	23.0	56.0	17.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723199	478.0	3384.0	113.0	0.0	1869.0	2327.0	8034.0	0.0	117.0	47.0	21.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723200	843.0	4095.0	492.0	0.0	2093.0	2941.0	8626.0	0.0	170.0	151.0	11.0	4.0	5.0	2.0	0.0	10.0	4.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723201	914.0	4324.0	468.0	0.0	1341.0	2035.0	11826.0	0.0	139.0	97.0	53.0	2.0	0.0	10.0	4.0	2.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723202	731.0	5247.0	609.0	0.0	2117.0	4810.0	10983.0	3.0	225.0	162.0	25.0	2.0	0.0	18.0	6.0	31.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723219	609.0	4701.0	582.0	0.0	1632.0	2085.0	8881.0	5.0	131.0	63.0	61.0	10.0	0.0	15.0	4.0	0.0	0.0	2.0	2.0	23.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723220	970.0	6518.0	836.0	0.0	2509.0	3366.0	12132.0	19.0	161.0	87.0	73.0	12.0	0.0	27.0	3.0	19.0	2.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723221	2208.0	6347.0	831.0	0.0	666.0	3520.0	13835.0	27.0	339.0	160.0	45.0	29.0	0.0	28.0	0.0	11.0	2.0	3.0	0.0	83.0	3.0	4.0	11.0	0.0	3.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723222	856.0	8921.0	1425.0	0.0	3668.0	3357.0	13581.0	19.0	257.0	138.0	74.0	41.0	3.0	16.0	26.0	9.0	3.0	0.0	0.0	28.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723223	683.0	7132.0	1106.0	0.0	1907.0	1744.0	8099.0	9.0	110.0	51.0	62.0	13.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	3.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723227	201.0	2712.0	722.0	0.0	1413.0	1547.0	5600.0	0.0	58.0	42.0	31.0	2.0	0.0	0.0	15.0	3.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723229	406.0	5046.0	1359.0	0.0	2897.0	1944.0	9984.0	2.0	96.0	43.0	74.0	10.0	0.0	16.0	17.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723230	1332.0	6888.0	1185.0	0.0	3017.0	4349.0	14912.0	21.0	297.0	241.0	118.0	43.0	3.0	64.0	5.0	11.0	0.0	0.0	3.0	64.0	0.0	3.0	10.0	0.0	6.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723231	1081.0	4866.0	1376.0	0.0	1569.0	3338.0	11758.0	13.0	163.0	41.0	69.0	25.0	0.0	17.0	3.0	0.0	0.0	0.0	0.0	40.0	0.0	4.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723232	318.0	3357.0	766.0	0.0	1284.0	1835.0	7829.0	0.0	108.0	54.0	32.0	2.0	0.0	18.0	10.0	7.0	0.0	0.0	0.0	12.0	0.0	2.0	8.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723234	259.0	3196.0	1161.0	0.0	1312.0	1898.0	7327.0	12.0	37.0	17.0	31.0	18.0	0.0	14.0	4.0	2.0	0.0	0.0	0.0	21.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723246	429.0	3107.0	205.0	3.0	981.0	1574.0	4438.0	8.0	87.0	14.0	4.0	32.0	0.0	12.0	0.0	0.0	2.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723256	486.0	4799.0	496.0	0.0	2568.0	1287.0	7135.0	12.0	156.0	92.0	54.0	13.0	0.0	26.0	9.0	8.0	0.0	0.0	0.0	49.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723319	650.0	4253.0	384.0	0.0	2463.0	1994.0	7643.0	9.0	115.0	121.0	36.0	22.0	0.0	34.0	0.0	10.0	0.0	0.0	0.0	60.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723352	5493.0	14495.0	1065.0	0.0	2984.0	12941.0	34319.0	27.0	846.0	487.0	116.0	24.0	6.0	98.0	22.0	26.0	28.0	0.0	2.0	297.0	0.0	0.0	20.0	0.0	13.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723353	1214.0	3609.0	375.0	0.0	729.0	3479.0	9293.0	15.0	167.0	111.0	18.0	27.0	0.0	24.0	0.0	7.0	0.0	0.0	0.0	74.0	0.0	0.0	2.0	0.0	0.0	19.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
